Timestamp,Total,Owner,Claimed,Unclaimed,Matched,Preempting,Backfill,Drain
1726999566,128,0,128,0,0,0,0,0
1726999568,128,0,128,0,0,0,0,0
1726999569,128,0,128,0,0,0,0,0
1726999570,128,0,128,0,0,0,0,0
1726999572,128,0,128,0,0,0,0,0
1726999574,128,0,128,0,0,0,0,0
1726999576,128,0,128,0,0,0,0,0
1726999578,128,0,128,0,0,0,0,0
1726999579,128,0,128,0,0,0,0,0
1726999582,128,0,128,0,0,0,0,0
1726999583,128,0,128,0,0,0,0,0
1726999585,128,0,128,0,0,0,0,0
1726999587,128,0,128,0,0,0,0,0
1726999588,128,0,128,0,0,0,0,0
1726999589,128,0,128,0,0,0,0,0
1726999591,128,0,127,0,0,1,0,0
1726999592,128,0,127,0,0,1,0,0
1726999594,128,0,127,0,0,1,0,0
1726999595,128,0,127,0,0,1,0,0
1726999596,128,0,127,0,0,1,0,0
1726999599,128,0,127,1,0,0,0,0
1726999600,128,0,127,1,0,0,0,0
1726999602,128,0,127,1,0,0,0,0
1726999603,128,0,127,1,0,0,0,0
1726999604,128,0,127,1,0,0,0,0
1726999606,128,0,127,1,0,0,0,0
1726999607,128,0,126,1,0,1,0,0
1726999609,128,0,126,1,0,1,0,0
1726999610,128,0,126,1,0,1,0,0
1726999612,128,0,126,1,0,1,0,0
1726999614,128,0,126,1,0,1,0,0
1726999616,128,0,126,2,0,0,0,0
1726999617,128,0,126,2,0,0,0,0
1726999619,128,0,128,0,0,0,0,0
1726999621,128,0,128,0,0,0,0,0
1726999623,128,0,128,0,0,0,0,0
1726999625,128,0,128,0,0,0,0,0
1726999627,128,0,127,0,0,1,0,0
1726999628,128,0,127,0,0,1,0,0
1726999629,128,0,127,0,0,1,0,0
1726999631,128,0,127,0,0,1,0,0
1726999633,128,0,127,0,0,1,0,0
1726999634,128,0,127,0,0,1,0,0
1726999636,128,0,127,0,0,1,0,0
1726999637,128,0,127,0,0,1,0,0
1726999638,128,0,127,0,0,1,0,0
1726999640,128,0,127,0,0,1,0,0
1726999641,128,0,127,0,0,1,0,0
1726999642,128,0,127,0,0,1,0,0
1726999644,128,0,126,0,0,2,0,0
1726999646,128,0,126,1,0,1,0,0
1726999647,128,0,126,1,0,1,0,0
1726999648,128,0,126,1,0,1,0,0
1726999649,128,0,126,1,0,1,0,0
1726999651,128,0,126,1,0,1,0,0
1726999652,128,0,126,1,0,1,0,0
1726999653,128,0,126,1,0,1,0,0
1726999654,128,0,126,1,0,1,0,0
1726999656,128,0,126,2,0,0,0,0
1726999657,128,0,126,2,0,0,0,0
