timestamp,total_mb,used_mb,available_mb,use_percent
1727143707,3753977,125364,3473628,4
1727143709,3753977,125365,3473628,4
1727143710,3753977,125365,3473627,4
1727143711,3753977,125365,3473627,4
1727143712,3753977,125365,3473627,4
1727143713,3753977,125365,3473627,4
1727143714,3753977,125365,3473627,4
1727143715,3753977,125365,3473627,4
1727143716,3753977,125365,3473627,4
1727143717,3753977,125365,3473627,4
1727143718,3753977,125365,3473627,4
1727143719,3753977,125365,3473627,4
1727143720,3753977,125365,3473627,4
1727143721,3753977,125366,3473627,4
1727143722,3753977,125366,3473627,4
1727143723,3753977,125366,3473627,4
1727143724,3753977,125366,3473627,4
1727143725,3753977,125366,3473627,4
1727143726,3753977,125366,3473626,4
1727143727,3753977,125366,3473626,4
1727143728,3753977,125366,3473626,4
1727143729,3753977,125366,3473626,4
1727143730,3753977,125366,3473626,4
1727143731,3753977,125366,3473626,4
1727143732,3753977,125366,3473626,4
1727143733,3753977,125366,3473626,4
1727143734,3753977,125366,3473626,4
1727143735,3753977,125366,3473626,4
1727143736,3753977,125366,3473626,4
1727143737,3753977,125366,3473626,4
1727143738,3753977,125366,3473626,4
1727143739,3753977,125367,3473626,4
1727143740,3753977,125367,3473626,4
1727143742,3753977,125367,3473626,4
1727143743,3753977,125367,3473626,4
1727143744,3753977,125367,3473625,4
1727143745,3753977,125367,3473625,4
1727143746,3753977,125367,3473625,4
1727143747,3753977,125367,3473625,4
1727143748,3753977,125367,3473625,4
1727143749,3753977,125367,3473625,4
1727143750,3753977,125367,3473625,4
1727143751,3753977,125367,3473625,4
1727143752,3753977,125367,3473625,4
1727143753,3753977,125367,3473625,4
1727143754,3753977,125367,3473625,4
1727143755,3753977,125367,3473625,4
1727143756,3753977,125368,3473625,4
1727143757,3753977,125368,3473625,4
1727143758,3753977,125368,3473625,4
1727143759,3753977,125368,3473625,4
1727143760,3753977,125368,3473625,4
1727143761,3753977,125368,3473624,4
1727143762,3753977,125368,3473624,4
1727143763,3753977,125368,3473624,4
1727143764,3753977,125368,3473624,4
1727143765,3753977,125368,3473624,4
1727143766,3753977,125368,3473624,4
1727143767,3753977,125368,3473624,4
1727143768,3753977,125368,3473624,4
1727143769,3753977,125368,3473624,4
1727143770,3753977,125368,3473624,4
1727143771,3753977,125368,3473624,4
1727143772,3753977,125368,3473624,4
1727143773,3753977,125368,3473624,4
1727143775,3753977,125368,3473624,4
1727143776,3753977,125369,3473624,4
1727143777,3753977,125369,3473624,4
1727143778,3753977,125369,3473624,4
1727143779,3753977,125369,3473624,4
1727143780,3753977,125369,3473624,4
1727143781,3753977,125369,3473623,4
1727143782,3753977,125369,3473623,4
1727143783,3753977,125369,3473623,4
1727143784,3753977,125369,3473623,4
1727143785,3753977,125369,3473623,4
1727143786,3753977,125369,3473623,4
1727143787,3753977,125369,3473623,4
1727143788,3753977,125369,3473623,4
1727143789,3753977,125369,3473623,4
1727143790,3753977,125369,3473623,4
1727143791,3753977,125369,3473623,4
1727143792,3753977,125370,3473623,4
1727143793,3753977,125370,3473623,4
1727143794,3753977,125370,3473623,4
1727143795,3753977,125370,3473623,4
1727143796,3753977,125370,3473623,4
1727143797,3753977,125370,3473622,4
1727143798,3753977,125370,3473622,4
1727143799,3753977,125370,3473622,4
1727143800,3753977,125370,3473622,4
1727143801,3753977,125370,3473622,4
1727143802,3753977,125370,3473622,4
1727143803,3753977,125370,3473622,4
1727143804,3753977,125370,3473622,4
1727143805,3753977,125370,3473622,4
1727143806,3753977,125370,3473622,4
1727143808,3753977,125371,3473622,4
1727143809,3753977,125371,3473622,4
1727143810,3753977,125371,3473622,4
1727143811,3753977,125371,3473622,4
1727143812,3753977,125371,3473621,4
1727143813,3753977,125371,3473621,4
1727143814,3753977,125371,3473621,4
1727143815,3753977,125371,3473621,4
1727143816,3753977,125371,3473621,4
1727143817,3753977,125371,3473621,4
1727143818,3753977,125371,3473621,4
1727143819,3753977,125371,3473621,4
1727143820,3753977,125371,3473621,4
1727143821,3753977,125371,3473621,4
1727143822,3753977,125372,3473621,4
1727143823,3753977,125372,3473621,4
1727143824,3753977,125372,3473621,4
1727143825,3753977,125372,3473621,4
1727143826,3753977,125372,3473620,4
1727143827,3753977,125372,3473620,4
1727143828,3753977,125372,3473620,4
1727143829,3753977,125372,3473620,4
1727143830,3753977,125372,3473620,4
1727143831,3753977,125372,3473620,4
1727143832,3753977,125372,3473620,4
1727143833,3753977,125372,3473620,4
1727143834,3753977,125372,3473620,4
1727143835,3753977,125372,3473620,4
1727143836,3753977,125373,3473620,4
1727143837,3753977,125373,3473620,4
1727143838,3753977,125373,3473620,4
1727143839,3753977,125373,3473620,4
1727143841,3753977,125373,3473619,4
1727143842,3753977,125373,3473619,4
1727143843,3753977,125373,3473619,4
1727143844,3753977,125373,3473619,4
1727143845,3753977,125373,3473619,4
1727143846,3753977,125373,3473619,4
1727143847,3753977,125373,3473619,4
1727143848,3753977,125373,3473619,4
1727143849,3753977,125373,3473619,4
1727143850,3753977,125373,3473619,4
1727143851,3753977,125374,3473619,4
1727143852,3753977,125374,3473619,4
1727143853,3753977,125374,3473619,4
1727143854,3753977,125374,3473619,4
1727143855,3753977,125374,3473618,4
1727143856,3753977,125374,3473618,4
1727143857,3753977,125374,3473618,4
1727143858,3753977,125374,3473618,4
1727143859,3753977,125374,3473618,4
1727143860,3753977,125374,3473618,4
1727143861,3753977,125374,3473618,4
1727143862,3753977,125374,3473618,4
1727143863,3753977,125374,3473618,4
1727143864,3753977,125374,3473618,4
1727143865,3753977,125374,3473618,4
1727143866,3753977,125375,3473618,4
1727143867,3753977,125375,3473618,4
1727143868,3753977,125375,3473618,4
1727143869,3753977,125375,3473618,4
1727143870,3753977,125375,3473617,4
1727143871,3753977,125375,3473617,4
1727143873,3753977,125375,3473617,4
1727143874,3753977,125375,3473617,4
1727143875,3753977,125375,3473617,4
1727143876,3753977,125375,3473617,4
1727143877,3753977,125375,3473617,4
1727143878,3753977,125375,3473617,4
1727143879,3753977,125375,3473617,4
1727143880,3753977,125375,3473617,4
1727143881,3753977,125375,3473617,4
1727143882,3753977,125376,3473617,4
1727143883,3753977,125376,3473617,4
1727143884,3753977,125376,3473617,4
1727143885,3753977,125376,3473617,4
1727143886,3753977,125376,3473616,4
1727143887,3753977,125376,3473616,4
1727143888,3753977,125376,3473616,4
1727143889,3753977,125376,3473616,4
1727143890,3753977,125376,3473616,4
