timestamp,timestamp,T1,T2
1727243546,,8.549448,28.60485
1727243547,,8.694194,28.74035
1727243548,,8.97962,28.43656
1727243549,,8.531419,28.6735
1727243550,,8.558256,28.71488
1727243551,,8.61233,28.69264
1727243552,,8.760358,28.66351
1727243553,,8.850031,28.66883
1727243554,,8.529972,28.5956
1727243555,,8.65435,28.52771
1727243556,,8.819803,28.64306
1727243557,,8.5265,28.59518
1727243558,,8.652493,28.86581
1727243559,,8.629217,28.58365
1727243560,,8.46831,28.94466
1727243561,,8.653329,28.669
1727243562,,8.862703,28.60796
1727243563,,8.965264,28.58903
1727243564,,8.664347,28.80261
1727243565,,8.550711,28.68721
1727243566,,8.560265,28.95536
1727243567,,8.816196,28.77863
1727243568,,8.932364,28.87879
1727243569,,9.018922,28.79401
1727243570,,8.954062,29.09944
1727243571,,8.595186,29.15411
1727243572,,8.636632,29.14421
1727243573,,8.833378,29.65733
1727243574,,8.625573,29.59474
1727243575,,8.811004,29.71407
1727243576,,8.843244,29.79962
1727243577,,9.011715,29.81157
1727243578,,8.877694,29.76727
1727243579,,8.647901,29.15157
1727243580,,8.505867,28.85756
1727243581,,8.722882,29.11679
1727243582,,8.282219,29.15484
1727243583,,8.754375,28.92418
1727243584,,8.811957,28.93543
1727243585,,8.672006,28.72222
1727243586,,8.630183,29.01551
1727243587,,8.836101,28.98853
1727243588,,8.470799,29.0095
1727243589,,8.892548,28.96725
1727243590,,8.645718,29.17108
1727243591,,8.59057,29.0337
1727243592,,8.510076,29.16904
1727243593,,8.410014,29.02126
1727243594,,8.891515,29.1497
1727243595,,8.469484,29.0667
1727243596,,8.632263,29.15598
1727243597,,8.446301,29.15089
1727243598,,8.502229,29.24273
1727243599,,8.655854,29.18518
1727243600,,8.679208,29.32212
1727243601,,8.629375,29.22517
1727243602,,8.756347,29.16836
1727243603,,8.682042,29.17814
1727243604,,8.555154,29.07479
1727243605,,8.604906,29.23169
1727243606,,8.806422,29.02289
1727243607,,8.80934,29.07377
1727243608,,8.741592,29.00077
1727243609,,8.63764,29.06458
1727243610,,8.376103,29.06672
1727243611,,8.538164,28.87101
1727243612,,8.781253,28.96416
1727243613,,8.699352,28.83824
1727243614,,9.097017,28.86382
1727243615,,8.589777,28.81602
1727243616,,8.957954,28.80162
1727243617,,8.669918,28.7191
1727243618,,8.44163,28.6626
1727243619,,8.296575,28.66277
1727243620,,8.49426,28.84339
1727243621,,8.831265,28.77863
1727243622,,8.618228,28.67146
1727243623,,8.497739,28.46725
1727243624,,8.53129,28.41205
1727243625,,8.641859,28.92679
1727243626,,8.475332,28.64753
1727243627,,8.337437,28.66326
1727243628,,8.776986,28.44931
1727243629,,8.520793,28.60518
1727243630,,8.596193,28.59239
1727243631,,8.665761,28.67047
1727243632,,8.742963,28.62716
1727243633,,8.834168,28.59207
1727243634,,8.661889,28.60107
1727243635,,8.426837,28.81298
1727243636,,8.829304,29.18362
1727243637,,8.867774,29.37544
1727243638,,8.995355,29.3084
1727243639,,9.204974,29.46156
1727243640,,8.939102,29.47472
1727243641,,8.668606,29.55572
1727243642,,8.82572,29.04228
1727243643,,8.502543,28.61776
1727243644,,8.682905,28.86914
1727243645,,8.874257,28.41512
1727243646,,8.925993,28.78309
1727243647,,8.741532,28.93096
1727243648,,9.018843,28.78842
1727243649,,8.527732,28.78425
1727243650,,8.559903,29.04918
1727243651,,8.590292,28.67261
1727243652,,8.721003,28.63018
1727243653,,9.184247,28.741
1727243654,,8.596915,28.64917
1727243655,,8.43422,28.70759
1727243656,,8.478665,28.81291
1727243657,,8.438194,29.00369
1727243658,,8.509412,28.95538
1727243659,,8.804004,28.93233
1727243660,,8.420531,28.88744
1727243661,,8.646548,28.91637
1727243662,,8.516409,29.03241
1727243663,,8.797905,28.94577
1727243664,,8.989756,28.87845
1727243665,,9.092896,28.87845
1727243666,,9.181519,28.70857
1727243667,,8.477825,28.70857
1727243668,,8.502635,28.98517
1727243669,,8.634384,28.61073
1727243670,,8.611433,28.98685
1727243671,,8.847473,28.84206
1727243672,,9.015802,29.05912
1727243673,,8.722008,28.50691
1727243674,,8.392722,28.5467
1727243675,,8.419315,28.77896
1727243676,,9.083667,28.35531
1727243677,,8.730943,28.69296
1727243678,,8.588754,28.5558
1727243679,,8.960599,28.52034
1727243680,,8.452784,28.49501
1727243681,,9.100261,28.72009
1727243682,,8.810596,28.55206
1727243683,,8.670777,28.79682
1727243684,,8.749751,28.41689
1727243685,,8.923128,28.59098
1727243686,,9.069264,28.6004
1727243687,,8.961991,28.58805
1727243688,,8.8921,28.55613
1727243689,,8.367771,28.4437
1727243690,,8.916113,28.47919
1727243691,,8.8457,28.79326
1727243692,,8.787204,28.84004
1727243693,,8.647101,28.69326
1727243694,,8.885787,28.69737
1727243695,,8.852153,28.80692
1727243696,,8.686687,28.80464
1727243697,,8.633179,28.7816
1727243698,,8.974048,29.14835
1727243699,,9.102444,29.75303
1727243700,,8.954171,29.60915
1727243701,,8.963431,29.51309
1727243702,,9.035295,29.47698
1727243703,,9.212743,29.4002
1727243704,,8.83423,29.36937
1727243705,,9.017542,29.1089
1727243706,,8.830961,28.86116
1727243707,,8.637468,28.94333
1727243708,,8.48325,28.84422
1727243709,,9.046256,28.65048
1727243710,,8.51145,28.87795
1727243711,,9.032926,28.79847
1727243712,,8.847868,28.86997
1727243713,,8.846721,28.64
1727243714,,8.891839,28.72174
1727243715,,8.562427,28.91261
1727243716,,8.893843,28.72231
1727243717,,8.613729,28.84726
1727243718,,8.671258,28.69695
1727243719,,8.871819,28.74145
1727243720,,8.900228,28.92021
1727243721,,8.813304,28.96422
1727243722,,8.46708,28.94254
1727243723,,8.804608,29.06841
1727243724,,8.621515,28.9328
1727243725,,8.141222,28.1782
1727243726,,8.580064,29.56182
1727243727,,8.705412,28.91995
1727243728,,8.461579,28.83111
1727243729,,8.679692,28.58235
1727243730,,8.672533,28.5641
1727243731,,8.873447,28.54687
1727243732,,8.872171,28.64229
1727243733,,8.761745,28.65408
1727243734,,8.657473,28.16585
1727243735,,8.901032,28.63149
