Timestamp,Total,Used,Free,Shared,Buffers,Available
1742817338,31725,3022,448,0,28253,28407
1742817339,31725,3022,448,0,28253,28407
1742817341,31725,2967,503,0,28254,28462
1742817342,31725,2966,504,0,28254,28464
1742817343,31725,2971,499,0,28254,28459
1742817345,31725,2972,498,0,28254,28458
1742817346,31725,2976,494,0,28254,28454
1742817347,31725,2970,500,0,28254,28464
1742817348,31725,2969,500,0,28254,28467
1742817349,31725,3011,459,0,28254,28429
1742817350,31725,3025,444,0,28254,28415
1742817351,31725,2961,509,0,28254,28471
1742817353,31725,2963,506,0,28254,28468
1742817354,31725,2967,502,0,28254,28465
1742817355,31725,3015,454,0,28254,28416
1742817357,31725,3012,458,0,28254,28420
1742817358,31725,2970,499,0,28254,28461
1742817359,31725,2955,514,0,28255,28477
1742817360,31725,3024,444,0,28255,28407
1742817361,31725,3015,454,0,28255,28417
1742817363,31725,2958,511,0,28255,28474
1742817364,31725,2958,511,0,28255,28474
1742817365,31725,3026,442,0,28255,28405
1742817366,31725,3012,456,0,28255,28420
1742817368,31725,3011,458,0,28255,28421
1742817369,31725,2962,506,0,28255,28470
1742817370,31725,2965,504,0,28255,28467
1742817371,31725,2966,503,0,28255,28466
1742817373,31725,2960,508,0,28255,28472
1742817374,31725,2960,508,0,28255,28471
1742817375,31725,2964,504,0,28255,28468
1742817376,31725,2954,515,0,28255,28478
1742817378,31725,2964,505,0,28255,28475
1742817379,31725,2966,503,0,28255,28474
1742817380,31725,2961,507,0,28255,28479
1742817382,31725,2963,505,0,28256,28477
1742817383,31725,2966,502,0,28256,28474
1742817384,31725,2954,514,0,28256,28486
1742817385,31725,3087,428,0,28208,28353
1742817386,31725,3134,381,0,28208,28306
1742817388,31725,3118,397,0,28208,28322
1742817389,31725,2941,574,0,28209,28482
1742817391,31725,2963,550,0,28211,28460
1742817392,31725,2967,544,0,28213,28456
1742817393,31725,2965,546,0,28213,28458
1742817395,31725,2959,551,0,28213,28464
1742817396,31725,2967,543,0,28214,28456
